month,orders,aov
2016-09-01,1,143.46
2016-10-01,265,175.44
2016-12-01,1,19.62
2017-01-01,750,169.98
2017-02-01,1653,164.09
2017-03-01,2546,162.74
2017-04-01,2303,169.7
2017-05-01,3546,159.86
2017-06-01,3135,156.32
2017-07-01,3872,146.25
2017-08-01,4193,154.03
2017-09-01,4150,168.93
2017-10-01,4478,167.73
2017-11-01,7289,158.23
2017-12-01,5513,152.93
2018-01-01,7069,152.48
2018-02-01,6555,147.39
2018-03-01,7003,160.02
2018-04-01,6798,166.65
2018-05-01,6749,167.25
2018-06-01,6099,165.93
2018-07-01,6159,166.88
2018-08-01,6351,155.17
