category,revenue,revenue_share_pct,cumulative_share_pct
health_beauty,1412089.53,9.16,9.16
watches_gifts,1264333.12,8.2,17.36
bed_bath_table,1225209.26,7.95,25.3
sports_leisure,1118256.91,7.25,32.55
computers_accessories,1032723.77,6.7,39.25
furniture_decor,880329.92,5.71,44.96
housewares,758392.25,4.92,49.88
cool_stuff,691680.89,4.49,54.37
auto,669454.75,4.34,58.71
garden_tools,567145.68,3.68,62.38
toys,547061.06,3.55,65.93
baby,466727.65,3.03,68.96
perfumery,443171.63,2.87,71.83
telephony,379202.62,2.46,74.29
office_furniture,335211.36,2.17,76.47
stationery,269575.05,1.75,78.21
pet_shop,250614.2,1.63,79.84
computers,228349.76,1.48,81.32
musical_instruments,202187.12,1.31,82.63
electronics,200723.09,1.3,83.93
small_appliances,198108.47,1.28,85.22
unknown,197695.69,1.28,86.5
fashion_bags_accessories,179888.29,1.17,87.67
luggage_accessories,168778.12,1.09,88.76
consoles_games,167097.73,1.08,89.85
construction_tools_construction,162382.01,1.05,90.9
home_appliances_2,118208.52,0.77,91.67
home_construction,95022.37,0.62,92.28
home_appliances,93301.78,0.61,92.89
furniture_living_room,85045.07,0.55,93.44
agro_industry_and_commerce,76203.3,0.49,93.93
home_confort,66438.22,0.43,94.36
air_conditioning,59854.55,0.39,94.75
fixed_telephony,59816.54,0.39,95.14
kitchen_dining_laundry_garden_furniture,57072.97,0.37,95.51
audio,56255.32,0.36,95.87
books_general_interest,54182.54,0.35,96.23
small_appliances_home_oven_and_coffee,49245.9,0.32,96.55
construction_tools_lights,47447.14,0.31,96.85
industry_commerce_and_business,46079.34,0.3,97.15
construction_tools_safety,42504.02,0.28,97.43
food,35794.68,0.23,97.66
market_place,33114.38,0.21,97.87
costruction_tools_garden,30283.94,0.2,98.07
fashion_shoes,27814.83,0.18,98.25
signaling_and_security,27792.59,0.18,98.43
art,27485.53,0.18,98.61
drinks,26971.11,0.17,98.78
furniture_bedroom,23379.22,0.15,98.94
books_technical,22901.07,0.15,99.08
food_drink,19337.77,0.13,99.21
costruction_tools_tools,17934.17,0.12,99.33
fashion_male_clothing,12514.95,0.08,99.41
christmas_supplies,11928.75,0.08,99.48
fashion_underwear_beach,11160.02,0.07,99.56
tablets_printing_image,8754.61,0.06,99.61
cine_photo,7902.18,0.05,99.67
music,6724.86,0.04,99.71
furniture_mattress_and_upholstery,5904.75,0.04,99.75
dvds_blu_ray,5769.84,0.04,99.78
party_supplies,5285.38,0.03,99.82
books_imported,5150.94,0.03,99.85
portateis_cozinha_e_preparadores_de_alimentos,4228.05,0.03,99.88
fashio_female_clothing,3218.44,0.02,99.9
fashion_sport,2657.55,0.02,99.92
la_cuisine,2388.54,0.02,99.93
arts_and_craftmanship,2184.14,0.01,99.95
diapers_and_hygiene,2046.19,0.01,99.96
flowers,1598.91,0.01,99.97
pc_gamer,1430.1,0.01,99.98
home_comfort_2,1170.58,0.01,99.99
cds_dvds_musicals,954.99,0.01,99.99
fashion_childrens_clothes,598.67,0.0,100.0
security_and_services,324.51,0.0,100.0
