state,orders,revenue,revenue_share_pct
SP,40501,5769703.15,37.42
RJ,12350,2055401.57,13.33
MG,11354,1818891.67,11.8
RS,5345,861472.79,5.59
PR,4923,781708.8,5.07
SC,3546,595127.78,3.86
BA,3256,591137.81,3.83
DF,2080,346123.35,2.24
GO,1957,334212.35,2.17
ES,1995,317657.93,2.06
PE,1593,308972.05,2.0
CE,1279,266436.77,1.73
PA,946,212023.57,1.38
MT,886,181224.42,1.18
MA,717,147803.55,0.96
PB,517,137838.55,0.89
MS,701,134367.55,0.87
PI,476,105178.19,0.68
RN,474,100714.78,0.65
AL,397,94172.49,0.61
SE,335,70289.13,0.46
TO,274,60007.37,0.39
RO,243,56966.0,0.37
AM,145,27585.47,0.18
AC,80,19575.33,0.13
AP,67,16141.81,0.1
RR,41,9039.52,0.06
