seller_id,revenue,revenue_rank,cumulative_share_pct
4869f7a5dfa277a7dca6462dcf3b52b2,247007.06,1,1.6
7c67e1448b00f6e969d365cea6b010ab,237806.69,2,3.14
4a3ca9315b744ce9f8e9374361493884,231220.43,3,4.64
53243585a1d6dc2643021fd1853d8905,230797.02,4,6.14
fa1c13f2614d7b5c4749cbc52fecda94,200833.5,5,7.44
da8622b14eb17ae2831f4ac5b9dab84a,184706.78,6,8.64
7e93a43ef30c4f03f38b393420bc753a,171973.55,7,9.76
1025f0e2d44d7041d6cf58b6550e0bfa,171924.96,8,10.87
7a67c85e85bb2ce8582c35f2203ad736,160278.52,9,11.91
955fee9216a65b617aa5c0531780ce60,156606.48,10,12.93
