delivery_days,orders
0,13
1,1572
2,3168
3,3849
4,4828
5,5810
6,6805
7,7651
8,6745
9,6039
10,5615
11,5114
12,4673
13,4376
14,3835
15,3170
16,2633
17,2360
18,2175
19,1816
20,1724
21,1491
22,1209
23,1070
24,935
25,816
26,711
27,659
28,586
29,472
30,433
31,371
32,336
33,316
34,294
35,284
36,233
37,196
38,163
39,167
40,143
41,162
42,132
43,118
44,110
45,119
46,93
47,77
48,66
49,66
50,60
51,52
52,37
53,37
54,39
55,32
56,36
57,24
58,22
59,26
60,18
61,12
62,15
63,12
64,8
65,12
66,14
67,9
68,16
69,10
70,17
71,10
72,8
73,4
74,8
75,9
76,5
77,3
78,6
79,4
80,4
81,3
82,1
83,5
84,4
85,3
86,6
87,1
88,1
89,1
90,1
91,1
92,1
94,2
96,2
97,2
98,1
99,3
100,1
101,1
102,1
103,3
104,2
105,2
106,2
107,2
108,2
109,1
110,1
115,1
117,1
118,1
124,1
126,2
130,2
131,1
132,1
133,1
135,1
136,1
138,2
141,1
142,1
143,2
145,1
146,1
148,1
165,1
166,1
167,2
168,2
172,1
173,1
174,1
175,1
181,1
182,1
186,1
187,2
188,1
189,1
191,1
194,3
195,1
208,1
209,1
